<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

Iran Khodro,20241126, 3244.00, 3244.00, 3126.00, 3218.00,3756836398339.00, 1167622886,18831,D,3150.00,3158.00
Iran Khodro,20241125, 3150.00, 3151.00, 3131.00, 3150.00,507324411151.00, 161032216,2464,D,3060.00,3151.00
Iran Khodro,20241124, 2988.00, 3066.00, 2988.00, 3060.00,1666031704742.00, 544431727,7134,D,2977.00,3066.00
Iran Khodro,20241123, 2969.00, 3007.00, 2923.00, 2977.00,1961242718239.00, 658844421,10822,D,2920.00,2960.00
Iran Khodro,20241120, 2864.00, 2982.00, 2839.00, 2920.00,3578282042134.00, 1225377358,17509,D,2896.00,2960.00
Iran Khodro,20241119, 2905.00, 2992.00, 2833.00, 2896.00,5780576109209.00, 1996093421,23883,D,2719.00,2839.00
Iran Khodro,20241118, 0.00, 0.00, 0.00, 2719.00,0.00, 0,0,D,2719.00,2720.00
Iran Khodro,20241117, 2720.00, 2720.00, 2687.00, 2719.00,3124183230632.00, 1148934725,12218,D,2641.00,2720.00
Iran Khodro,20241116, 2641.00, 2641.00, 2641.00, 2641.00,156889458043.00, 59405323,812,D,2565.00,2641.00
Iran Khodro,20241113, 2520.00, 2569.00, 2512.00, 2565.00,304630898686.00, 118783674,1546,D,2495.00,2569.00
Iran Khodro,20241112, 2437.00, 2499.00, 2423.00, 2495.00,930866917927.00, 373021248,4276,D,2427.00,2499.00
Iran Khodro,20241111, 2427.00, 2427.00, 2427.00, 2427.00,991570324248.00, 408558024,3817,D,2357.00,2427.00
Iran Khodro,20241110, 2374.00, 2374.00, 2374.00, 2357.00,96169458040.00, 40509460,637,D,2305.00,2374.00
Iran Khodro,20241109, 2315.00, 2315.00, 2275.00, 2305.00,105916115445.00, 45769317,862,D,2248.00,2315.00
Iran Khodro,20241106, 2222.00, 2313.00, 2179.00, 2248.00,782810475068.00, 348169647,5741,D,2246.00,2270.00
Iran Khodro,20241105, 2246.00, 2247.00, 2234.00, 2246.00,510903363784.00, 227445584,3304,D,2182.00,2247.00
Iran Khodro,20241104, 2152.00, 2246.00, 2152.00, 2182.00,466445941309.00, 213777123,4191,D,2218.00,2240.00
Iran Khodro,20241103, 2185.00, 2200.00, 2185.00, 2218.00,60520598460.00, 27696098,634,D,2252.00,2185.00
Iran Khodro,20241102, 2235.00, 2253.00, 2222.00, 2252.00,733181253209.00, 325640341,4460,D,2188.00,2235.00
Iran Khodro,20241030, 2161.00, 2225.00, 2097.00, 2188.00,455329621929.00, 208097881,3470,D,2161.00,2210.00
Iran Khodro,20241029, 2220.00, 2220.00, 2142.00, 2161.00,367103654239.00, 169869353,3497,D,2208.00,2142.00
Iran Khodro,20241028, 2210.00, 2210.00, 2170.00, 2208.00,736155887166.00, 333475586,4258,D,2146.00,2210.00
