<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
2001-03-25,7.937017489515453,7.938445551164788,7.937017489515453,7.937731775260109,310368080.0,110870,115,7.937017489515453,7.937731775260109
2001-03-26,7.938088726896952,7.941295570906532,7.936660155225426,7.937017489515453,270595190.0,96613,98,7.937731775260109,7.937017489515453
2001-03-27,7.935945103353701,7.937731775260109,7.935945103353701,7.935945103353701,466405131.0,166600,120,7.937017489515453,7.935945103353701
2001-03-28,7.937731775260109,7.955074273262696,7.936302693201959,7.955074273262696,227566666.0,80676,104,7.935945103353701,7.955074273262696
2001-03-31,7.951911381854188,7.954723334497908,7.937731775260109,7.951207156472972,500068371.0,177362,161,7.955074273262696,7.951207156472972
2001-04-03,7.951911381854188,7.9624156801210635,7.951207156472972,7.9617188159813645,158053247.0,55562,86,7.951207156472972,7.9617188159813645
2001-04-07,7.9617188159813645,7.983098940710892,7.9617188159813645,7.972810784121404,355157582.0,122642,144,7.9617188159813645,7.972810784121404
2001-04-08,7.979681302387741,8.013343181386672,7.973844375944687,8.008032846969307,890538835.0,299359,270,7.972810784121404,8.008032846969307
2001-04-09,8.015987811027237,8.052296499538647,8.013343181386672,8.04012466444838,1349633103.0,434320,378,8.008032846969307,8.04012466444838
2001-04-10,8.057060681965766,8.057694194815587,8.029432840581244,8.033009498596668,1839935140.0,592395,467,8.04012466444838,8.033009498596668
2001-04-11,8.03365842788615,8.03947991910045,8.030084094267563,8.033009498596668,1865310571.0,604953,458,8.033009498596668,8.033009498596668
2001-04-14,8.034306936339489,8.042699496897637,8.033009498596668,8.03689677268507,1343731773.0,434057,398,8.033009498596668,8.03689677268507
2001-04-15,8.037220031133012,8.037866234709618,8.02322468471667,8.026170194946426,707240663.0,229777,261,8.03689677268507,8.026170194946426
2001-04-16,8.025843344150903,8.029107054619736,8.016317898503415,8.029107054619736,816117110.0,268061,325,8.026170194946426,8.029107054619736
2001-04-17,8.029107054619736,8.03947991910045,8.028129059431759,8.032035314398824,1187554196.0,386136,311,8.029107054619736,8.032035314398824
2001-04-18,8.03268487596762,8.03947991910045,8.030409562130485,8.03268487596762,1650557427.0,534555,387,8.032035314398824,8.03268487596762
2001-04-21,8.03268487596762,8.039802343736485,8.0323601479245,8.035278911144667,6598014831.0,2129585,331,8.03268487596762,8.035278911144667
2001-04-22,8.036573409707312,8.03947991910045,8.02322468471667,8.034306936339489,3112179770.0,1014348,383,8.035278911144667,8.034306936339489
